DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2,UK Millionaire Maker,European Millionaire Maker,DrawNumber
31-Jan-25,22,30,41,44,49,2,7,MQVW10303,,1812
28-Jan-25,9,37,41,42,49,1,9,TMTL79764,,1811
24-Jan-25,2,11,19,30,49,3,8,JNTX26814,,1810
21-Jan-25,6,8,14,27,41,4,5,TMTL77973,,1809
17-Jan-25,8,15,24,35,42,6,8,VLTD60098,,1808
14-Jan-25,18,20,29,41,48,5,9,MJSK01428,,1807
10-Jan-25,12,27,36,37,42,6,7,HJSM76931,,1806
07-Jan-25,20,33,35,41,47,4,12,JHRW37794,,1805
03-Jan-25,3,19,29,35,37,1,9,XFQS49143,,1804
31-Dec-24,19,24,26,28,33,8,12,"HFRF28402,HFRJ66892,TFRC97755,TFRG50201,VFQT02512,VFQV55530,VFRC51328,XFQV66808,XFQZ09423,ZFRF80452",,1803
27-Dec-24,12,22,27,33,45,4,8,XDQM36414,,1802
24-Dec-24,6,10,16,23,24,11,12,MCQG92042,,1801
20-Dec-24,10,14,21,33,50,6,9,MBPP66710,,1800
17-Dec-24,1,3,4,21,29,2,7,HZPK28068,,1799
13-Dec-24,1,15,25,42,50,4,10,JXNP81227,,1798
10-Dec-24,5,24,25,29,47,5,9,XWNG16283,,1797
06-Dec-24,14,25,39,44,47,6,10,TVND59979,,1796
03-Dec-24,23,25,34,46,47,6,8,XRLM18451,,1795
29-Nov-24,8,17,18,29,43,5,9,ZSMJ42495,,1794
26-Nov-24,7,11,25,31,40,9,12,TRLJ40528,,1793
22-Nov-24,10,11,12,29,31,8,11,HPKC49026,"BWPJ29140,BWPP46396,BWPS07863,BWQH59438,BWRB94521,BWRG36072,BZZZ66811,EBBJ26152,EBBX29007,EBBX97858,EBCG02594,EBCG03652,EBCM03824,EBCR18727,EBCT01332,EBDV99400,EBFC45227,EBFJ65972,EBFS30806,EBFT45043,FBCR25193,FCFP59552,FCGW16564,FCNP17928,FDJF33286,FFHZ79989,FFRK44523,FFXV55986,FFXW82222,FGMM67357,FGRF26663,FGWD13213,FHFP80660,FHMR37863,FHSD57137,FKNP54102,FKZG04815,FLWM35935,FPDH28668,FPHF13460,FQBR56894,FQBS00245,FQCD50969,FQLN57442,FRQN82256,FSZF07542,FTXV15611,FVZV83429,FVZW90554,HQKW78778,HQLJ06109,IRKJ86198,IRKS16405,JQKN47246,JQKS64141,JQLD02896,JQLG22716,JQLH15154,LLRV88951,MPJQ65682,MQKW06991,MQLB74455,MQLF27486,NCJK47213,OFTL28269,OLXQ36780,PJDZ32757,PJGJ36775,PJJN39681,PJMM00998,PJNJ24734,PJPH07932,PJPV29109,PJRW37687,PJVG27108,RLTH63481,RLTL24947,RLTL73909,RLTM65259,RLTP84743,SBCW88348,SBDF83348,SBDN76665,SBDP67456,TQKP19167,TQKQ32242,TQLB99719,TQLH36037,VPJR45966,VQKG63373,VQKP53077,VQKP61496,VQLD49200,WDBV47030,WNPZ41244,XQKM17444,XQKZ16818,ZQKX82893,ZQLD36160,ZQLD76785",1792
19-Nov-24,4,13,20,28,49,7,12,ZPJV42351,,1791
15-Nov-24,7,8,34,39,44,2,6,TNJH94041,,1790
12-Nov-24,10,11,12,22,50,1,10,TLGT84499,,1789
08-Nov-24,2,33,35,42,48,1,3,TLGW86023,,1788
05-Nov-24,1,8,19,37,50,6,9,ZKGR64102,,1787
01-Nov-24,7,33,38,44,50,2,7,XHFJ19826,,1786
29-Oct-24,1,2,19,30,45,10,12,THFS72728,,1785
25-Oct-24,4,17,20,25,45,8,9,"HGDZ63195,HGFD25896,JFDL21768,MGFH33697,TGDT67771,TGFC21856,VGFC20515,ZGDS52386,ZGDW66510,ZGDZ94809",,1784
22-Oct-24,3,13,27,30,46,1,2,ZFDM17741,,1783
18-Oct-24,4,15,23,30,39,1,12,JDDF38095,,1782
15-Oct-24,2,15,32,36,48,3,9,ZCCN33395,,1781
11-Oct-24,16,23,32,46,49,4,5,MZBX76775,,1780
08-Oct-24,7,14,19,34,40,6,8,ZZBZ48011,,1779
04-Oct-24,4,8,16,17,20,1,6,TXBP94278,,1778
01-Oct-24,8,22,29,41,42,9,11,MWBC83896,,1777
27-Sep-24,7,20,21,27,38,5,12,XVXX74488,,1776
24-Sep-24,18,20,21,36,49,3,5,VTXS21181,,1775
20-Sep-24,16,25,29,34,37,3,7,MRWV20584,,1774
17-Sep-24,20,30,32,41,44,1,10,TRXB58553,,1773
13-Sep-24,10,15,17,31,42,4,12,TQWS78563,,1772
10-Sep-24,6,29,46,47,48,2,9,MPWH57118,,1771
06-Sep-24,12,14,34,41,47,3,4,MNVT27898,,1770
03-Sep-24,7,9,11,16,45,2,5,MMVJ92833,,1769
30-Aug-24,3,24,27,33,42,4,6,TLTL20071,,1768
27-Aug-24,1,8,11,42,47,4,11,ZKSZ37639,,1767
23-Aug-24,9,15,24,47,50,8,9,JJSV41225,,1766
20-Aug-24,7,10,13,18,26,3,12,THSK26781,,1765
16-Aug-24,15,17,29,45,49,1,10,"HGSB20321,JGRP65700,JGRV13403,MFRC03784,MGRV27346,VFQX59648,VGRP90420,XFRB72048,ZGRP22417,ZWNZ20666",,1764
